,REGIONID,DATETIME,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
4,VIC1,2021/06/14 03:00:00,114.89,90.76,127.31425,75.31892,174.32,48.3468,248.82037,114.89,89.63846,114.89,85.43937,174.32,58.67159,295.7108,114.89,90.76,114.89,90.31128,114.89,88.78056,174.32,60.69219,258.71002,40.56575,114.89,92.24335,125.9503,78.7652,174.32,56.08416,248.82037,96.32083,96.32083,96.32083,96.32083,112.67226,96.32083,114.89,179.03904
0,NSW1,2021/06/14 03:30:00,101.41649,68.85458,128.49272,66.72502,195.50794,43.52343,299.6,101.41649,72.45482,123.66571,68.66685,152.26994,48.35208,251.60207,100.66176,93.26757,101.41649,70.04681,123.66571,68.66685,154.45037,49.28657,246.37881,43.09,99.91187,70.41663,128.49272,66.72502,177.35622,43.52343,210.70114,94.12877,94.12877,94.12877,94.12877,100.66176,94.12877,123.66571,153.34354
1,QLD1,2021/06/14 03:30:00,100.73002,69.94,127.14668,67.77687,189.89,44.54208,280.38256,100.73002,73.59699,122.37024,69.74931,149.0,49.31999,235.74003,100.73002,94.03132,100.73002,71.15103,122.37024,69.74931,153.40493,49.31999,239.4,42.16466,100.73002,69.94,132.49031,65.29213,189.89,40.13281,1000.01,94.89957,94.89957,94.89957,94.89957,100.73002,94.89957,122.37024,149.0
2,SA1,2021/06/14 03:30:00,93.70213,66.61095,115.83346,64.55078,162.50738,43.735,234.52413,95.44,68.76752,115.83346,64.55078,139.34355,43.735,239.95179,95.42912,86.64,98.11183,64.36894,122.32588,60.48196,137.9,46.91957,215.21184,40.7471,92.31196,68.12211,115.83346,64.55078,147.41956,43.735,170.0793,87.44,87.44,87.44,87.44,93.89839,87.44,115.83346,165.2719
3,TAS1,2021/06/14 03:30:00,52.50293,50.93743,52.50293,50.93743,53.3795,37.73765,53.46253,52.50293,50.93743,52.50293,50.93743,53.3795,37.73765,53.61986,52.50293,52.50293,52.50293,50.93743,52.50293,50.93743,53.3795,41.0394,53.3795,36.31335,52.50293,50.93743,52.50293,50.93743,53.3795,37.73765,53.3795,55.3,46.62907,67.07407,40.43357,82.61541,27.34,105.37479,53.3795
4,VIC1,2021/06/14 03:30:00,92.43677,63.96844,114.89,61.99,166.55928,42.0,243.04319,94.21966,66.03945,114.89,61.99,142.81789,42.0,249.76356,92.63038,85.00938,94.21966,63.84466,114.89,61.99,136.77681,45.78904,214.01168,40.41522,91.06537,65.41965,114.89,61.99,151.09527,42.0,174.32,85.79432,85.79432,85.79432,85.79432,92.63038,85.79432,114.89,145.19818
0,NSW1,2021/06/14 04:00:00,130.93141,99.90785,150.57739,94.57622,208.54865,60.56928,299.6,128.43246,100.65771,150.00939,98.81782,194.04952,68.0,299.6,128.43246,128.22962,128.43246,100.65771,150.00939,99.90785,202.54296,67.98023,299.6,43.09,130.93141,102.172,144.49843,94.57622,210.60038,60.95086,299.6,128.43246,128.43246,128.43246,128.43246,128.43246,128.43246,128.43246,205.74407
1,QLD1,2021/06/14 04:00:00,131.02547,100.73002,149.0,96.79364,201.0625,62.4562,282.48055,128.52472,100.73002,149.0,100.73002,189.89,69.94,282.48055,128.52472,128.32174,128.52472,100.73002,149.0,100.73002,199.84,68.53966,293.17797,42.80005,134.00121,100.73002,149.0,92.54894,223.797,57.04352,1000.01,128.52472,128.52472,128.52472,128.52472,128.52472,128.52472,128.52472,199.84
2,SA1,2021/06/14 04:00:00,115.0763,90.50136,128.56758,87.44,172.93737,59.12356,241.17998,115.0763,89.44426,133.12742,87.44,175.54692,59.79339,281.34032,116.48538,112.55797,117.74942,87.44,142.62266,85.43147,174.83361,62.8508,254.41111,39.57132,115.0763,92.55234,123.37717,87.44,172.93737,59.49603,241.17998,115.0763,115.0763,115.0763,115.0763,115.0763,115.0763,115.0763,218.26051
3,TAS1,2021/06/14 04:00:00,53.31802,53.31802,53.31802,53.31802,53.31802,50.7896,53.81031,53.31802,53.31802,53.31802,53.31802,53.31802,51.36511,53.81031,53.31802,53.31802,53.31802,53.31802,53.31802,53.30578,53.31802,51.36511,53.81031,35.11221,53.31802,53.31802,53.31802,53.31802,53.31802,51.10962,53.81031,54.64909,27.34,55.3,27.34,55.34,27.34,103.77059,53.39128
4,VIC1,2021/06/14 04:00:00,114.89,90.23549,129.59547,86.24242,174.32,57.37851,247.14449,114.89,89.1815,134.19177,86.71089,176.95042,58.02856,294.75924,114.89,114.70855,114.89,89.60244,135.48657,88.51713,174.32,61.99,257.85281,39.67051,114.89,92.28044,124.36357,86.24242,174.32,57.73999,247.14449,114.89,114.89,114.89,114.89,114.89,114.89,114.89,189.41686
0,NSW1,2021/06/14 04:30:00,79.92961,73.76352,82.43986,66.01149,135.21197,55.84,299.6,77.65823,75.11808,81.93294,68.0,121.64559,65.75342,242.46722,77.65823,77.65823,77.65823,74.32179,82.43986,68.0,130.07242,63.3084,196.5454,43.09,79.38961,72.59651,79.92961,68.0,108.61729,55.38028,108.61729,77.65823,77.65823,77.65823,77.65823,77.65823,77.65823,83.0615,121.64559
1,QLD1,2021/06/14 04:30:00,84.38017,78.46011,85.73005,70.21451,137.47847,59.39538,286.97432,81.98233,79.30074,85.73005,72.32962,123.68468,69.94,235.73,81.98233,81.98233,81.98233,78.46011,85.73005,72.32962,135.26363,66.24237,199.84,44.1419,85.72999,75.49385,86.31311,69.66,189.89,53.44231,1000.02,81.98233,81.98233,81.98233,81.98233,81.98233,81.98233,85.73005,123.68468
2,SA1,2021/06/14 04:30:00,73.66763,71.32344,75.98122,64.43888,116.52293,57.15337,236.6268,73.66763,71.25801,78.46986,63.89017,116.52293,61.18855,234.36953,75.13465,72.77043,75.93182,68.52713,83.97511,60.10141,117.4657,61.63075,172.7008,40.88482,73.66763,70.19504,73.66763,65.75058,95.44,56.68284,95.44,73.66763,73.66763,73.66763,73.66763,73.66763,73.66763,80.31385,134.9036
3,TAS1,2021/06/14 04:30:00,55.12,55.12,55.12,55.12,55.12,50.75517,55.12,55.12,55.12,55.12,55.12,55.12,54.1982,55.12,55.12,55.12,55.12,55.12,55.12,55.12,55.12,55.12,55.12,37.74505,55.12,55.12,55.12,55.12,55.12,50.33723,55.12,58.08109,55.12,63.07678,55.12,63.92569,55.12,71.7001,55.12
4,VIC1,2021/06/14 04:30:00,70.6,68.35342,72.81725,61.75555,114.89,54.77341,242.39913,70.6,68.29072,75.20226,61.22968,114.89,58.64056,240.0868,70.6,70.6,70.6,67.5668,75.66753,61.22968,114.89,59.79257,170.2806,40.31187,70.6,67.27201,70.6,63.01262,94.10252,54.32248,94.10252,70.6,70.6,70.6,70.6,70.6,70.6,76.96946,114.89
0,NSW1,2021/06/14 05:00:00,79.8891,70.75709,81.10401,67.07955,136.64308,57.78999,299.6,78.46665,73.31456,80.49465,68.0,119.58842,64.68391,240.37252,78.46665,78.46665,78.46665,73.14126,81.10401,68.0,106.62141,63.02842,228.10983,43.08952,79.22444,70.45226,79.99129,67.25799,93.75164,56.92886,96.44639,78.46665,78.46665,78.46665,78.46665,78.46665,78.46665,81.10401,120.35542
1,QLD1,2021/06/14 05:00:00,85.73005,76.50666,85.73005,72.5303,141.21374,62.48589,291.6453,84.20359,79.27195,85.73005,73.52554,123.58861,69.94,235.74003,84.20359,84.20359,84.20359,79.08457,85.73005,73.52554,112.70293,67.1278,235.74003,44.8667,85.73005,74.47075,87.81183,69.94,199.84,55.83172,1001.12,84.20359,84.20359,84.20359,84.20359,84.20359,84.20359,85.73005,124.38126
2,SA1,2021/06/14 05:00:00,72.37946,66.53051,73.38629,63.6778,114.63859,58.07111,241.41722,72.37946,67.62705,75.68641,62.25201,112.61431,58.52871,234.73283,73.66763,71.60258,74.7369,65.6645,81.27021,58.62345,95.44,60.32762,201.36316,39.81141,72.37946,66.24389,72.37946,63.84719,84.01529,57.20579,86.43018,72.37946,72.37946,72.37946,72.37946,72.37946,72.37946,76.25937,130.88143
