,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
0,NSW1,2021-01-22 19:00:00,10766,10573,10381
395,QLD1,2021-01-22 19:00:00,7686,7576,7464
790,SA1,2021-01-22 19:00:00,2035,1954,1872
1185,TAS1,2021-01-22 19:00:00,1210,1190,1170
1580,VIC1,2021-01-22 19:00:00,6033,5906,5779
0,NSW1,2021-01-22 19:30:00,10492,10305,10117
394,QLD1,2021-01-22 19:30:00,7680,7570,7459
788,SA1,2021-01-22 19:30:00,2085,2002,1918
1182,TAS1,2021-01-22 19:30:00,1226,1206,1185
1576,VIC1,2021-01-22 19:30:00,6030,5904,5777
0,NSW1,2021-01-22 20:00:00,10321,10136,9952
393,QLD1,2021-01-22 20:00:00,7649,7538,7428
786,SA1,2021-01-22 20:00:00,2071,1988,1905
1179,TAS1,2021-01-22 20:00:00,1221,1201,1181
1572,VIC1,2021-01-22 20:00:00,5874,5751,5628
0,NSW1,2021-01-22 20:30:00,10034,9855,9676
392,QLD1,2021-01-22 20:30:00,7516,7408,7299
784,SA1,2021-01-22 20:30:00,2020,1940,1859
1176,TAS1,2021-01-22 20:30:00,1224,1203,1183
1568,VIC1,2021-01-22 20:30:00,5759,5638,5517
0,NSW1,2021-01-22 21:00:00,9652,9479,9307
391,QLD1,2021-01-22 21:00:00,7332,7226,7120
782,SA1,2021-01-22 21:00:00,1952,1874,1796
1173,TAS1,2021-01-22 21:00:00,1209,1189,1170
1564,VIC1,2021-01-22 21:00:00,5573,5456,5339
0,NSW1,2021-01-22 21:30:00,9457,9288,9119
390,QLD1,2021-01-22 21:30:00,7138,7036,6933
780,SA1,2021-01-22 21:30:00,1869,1794,1719
1170,TAS1,2021-01-22 21:30:00,1173,1154,1137
1560,VIC1,2021-01-22 21:30:00,5426,5312,5198
0,NSW1,2021-01-22 22:00:00,9132,8968,8805
389,QLD1,2021-01-22 22:00:00,6966,6865,6765
778,SA1,2021-01-22 22:00:00,1788,1716,1645
1167,TAS1,2021-01-22 22:00:00,1131,1115,1098
1556,VIC1,2021-01-22 22:00:00,5199,5090,4981
0,NSW1,2021-01-22 22:30:00,8946,8786,8626
388,QLD1,2021-01-22 22:30:00,6827,6728,6631
776,SA1,2021-01-22 22:30:00,1707,1638,1570
1164,TAS1,2021-01-22 22:30:00,1124,1107,1090
1552,VIC1,2021-01-22 22:30:00,5050,4944,4838
0,NSW1,2021-01-22 23:00:00,8652,8498,8343
387,QLD1,2021-01-22 23:00:00,6663,6567,6471
774,SA1,2021-01-22 23:00:00,1628,1562,1497
1161,TAS1,2021-01-22 23:00:00,1103,1087,1072
1548,VIC1,2021-01-22 23:00:00,4929,4826,4722
0,NSW1,2021-01-22 23:30:00,8351,8202,8053
386,QLD1,2021-01-22 23:30:00,6449,6357,6264
772,SA1,2021-01-22 23:30:00,1578,1515,1452
1158,TAS1,2021-01-22 23:30:00,1083,1067,1052
1544,VIC1,2021-01-22 23:30:00,5124,5016,4908
